ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Start_Date,End_Date,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
98,APCD Industrial Operating Permits,"​Permits to operate issued to the operators of industrial facilities in Louisville/Jefferson County. There is one permit per facility site (""plant""), so one company may have multiple operating permits. A facility site can range in size from a dry cleaner or aut body shop to a large power plant or chemical plant. The plant class indicates the level of potential emissions, which roughly corresponds to the size of the facility site.",Hansen 8,Econ Growth & Innovation-APCD,"Industrial Permitting; Compiance and Enforcement",Matt King,Bryan Frazar,Public,Oracle Database,Continuous,,1/1/1992,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/industrial-operating-permits
99,APCD Industrial Construction Permits,"​Permits to construct, modify, or decommission equipment that generates or controls air pollution emissions in Louisville/Jefferson County.",Hansen 8,Econ Growth & Innovation-APCD,Industrial Permitting,Matt King,Bryan Frazar,Public,Oracle Database,Continuous,,1/1/2010,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/industrial-construction-permits
100,APCD Gasoline Dispensing Operating Permits,"​Permits to operate gasoline dispensing facilities (gas stations and fleet fueling stations) in Louisville/Jefferson County. Each permit is for one facility, so one company can have many permits.",Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,Steven Gravatte,Bryan Frazar,Public,Oracle Database,Continuous,,1/1/2009,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/gasoline-dispensing-operating-permits
101,APCD Gasoline Dispensing Construction Permits,​Permits to construct or modify a gasoline dispensing facility in Louisville/Jefferson County. Each permit is effective for one year. The same facility may have multiple construction permits over the years.,Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,Steven Gravatte,Bryan Frazar,Public,Oracle Database,Continuous,,1/1/2009,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/gasoline-dispensing-construction-permits
102,APCD Asbestos Removal Permits,"​Permits to remove or disturb asbestos-containing material in Louisville/Jefferson County. Each permit is for a specific site for a specific time period. Subtypes include: abatement for demolition, abatement for renovation, other abatement, friable blanket (annual), non-friable blanket (annual), and long term (annual).",Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,Steven Gravatte,Bryan Frazar,Public,Oracle Database,Continuous,,1/1/2009,,Citywide,"Latitude/longitude;#Street address",https://data.louisvilleky.gov/dataset/asbestos-removal-permits
103,APCD Open Burning Permits,"​Permits for outdoor fires in Louisville/Jefferson County. Permits are not required for fires in manufactured or approved fire pits and chimineas or for fires solely for the purpose of cooking food. Subtypes include: recreational fires (bonfires and the like), training fires (for fire-fighting training), and agricultural or other controlled burns.",Hansen 8,Econ Growth & Innovation-APCD,Compliance and Enforcement,(vacant),Bryan Frazar,Public,Oracle Database,Continuous,,10/1/2009,,Citywide,"Latitude/longitude;#Street address;#Parcel (block/lot)",https://data.louisvilleky.gov/dataset/open-burning-permits
104,Air Pollution Annual Emissions Estimates for Large Industrial Plants,​Emissions reported to APCD by large industrial facilities as part of APCD's annual point-source emissions inventory,APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access backend,Yearly,,1/1/2010,,Citywide,Latitude/longitude,https://www3.epa.gov/enviro/facts/nei/
105,Air Pollution Emission Units of Large Industrial Plants,"​""Emission Units"" are containers/groupings of emission processes identified by or for large industrial facilities as part of APCD's annual point-source emissions inventory",APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access backend,Yearly,,1/1/2010,,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
106,Air Pollution Emission Processes at Large Industrial Plants,​Processes or pieces of equipment that can emit air pollution at large industrial facilities required to report emissions as part of APCD's annual point-source emissions inventory,APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access backend,Yearly,,1/1/2010,,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
107,Air Pollution Emission Release Points at Large Industrial Plants,​Release points (smokestacks and fugitive release locations) of air pollutant emissions reported by large industrial facilities as part of APCD's annual point-source emissions inventory,APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access backend,Yearly,,1/1/2010,,Citywide,"Latitude/longitude;#Not applicable",https://www3.epa.gov/enviro/facts/nei/
108,Air Pollution Emission Control Measures at Large Industrial Plants,"​Control measures, including control devices, used to control air pollutant emissions from emission processes at large industrial facilities, identified as part of APCD's annual point-source emissions inventory",APCD Emissions Inventory System,Econ Growth & Innovation-APCD,Industrial Permitting,Chris Gerstle,Bryan Frazar,Public,Access backend,Yearly,,1/1/2010,,Citywide,Street address,https://www3.epa.gov/enviro/facts/nei/
109,311 Service Requests,"​Citizen requests for service in multiple categories to be resolved by multiple agencies.
",Accela,Emergency Mgt Agency/MetroSafe,Metro311,Jody Duncan,Jody Duncan,Internal,csv file,Continuous,Daily,1/1/1997,,Citywide,Latitude/longitude,https://data.louisvilleky.gov/dataset/311-service-requests
110,Community Warning Sirens,"​Point layer of emergency management sirens for Jefferson, Bullitt, Oldham & Shelby County.​

",LOJIC,Emergency Mgt Agency/MetroSafe,,Jim McKinney,Jim McKinney,Public,Oracle Database,Continuous,,,,Regional,Latitude/longitude,
111,PowerDMS Student Records,"​Records for all Metro employees who have been assigned to take courses on PowerDMS.
",PowerDMS,Human Resources,Communications and Policy,David Holland,,Internal,Excel Spread Sheets,Continuous,,6/5/2015,,Other,Not applicable,
112,Audit Reports Listing,"​This dataset includes all audits from 2003 to present. The purpose is to make the process of viewing particular audit reports, based on the description or other specific criteria, easily acccessible within  minutes.",AgencyWeb,Internal Auditor,Internal Audit,Internal Audit,Tiffany Smith,Public,csv file,Quarterly,,,,Citywide,Not applicable,
113,Participant Records,"Program participant and participation records.

",KEE Suite,Kentuckiana Works Foundation,,Jaime L. Disney,,Public,Unknown,Continuous,,,,Citywide,Not applicable,
114,Company and Contact Data,"Company address and contact information along with personnel working at the company. 
",,Kentuckiana Works Foundation,,Rider Rodriguez,,Sensitive,Unknown,Continuous,,,,Regional,Street address,https://kydev.my.salesforce.com/
115,"People CountsNumber of visitors to library locations, viewable by locations and date/time.Number of visitors to library locations, viewable by locations and date/time.",,SenSource Inc - Vea,Library,,Greg Schwartz,Greg Schwartz,Public,Unknown,Continuous,,8/1/2017,,Citywide,Other,
116,Narcan Use,​Narcan use from LMEMS PCR and other agencies/ providers use of narcan and dosage amount,Overdoses,Louisville Metro EMS,,Jennifer Jones,Jennifer Jones,Sensitive,Excel Spread Sheets,Daily,Updated Daily,4/9/2018,,Citywide,"Street address;#Zip code;#City;#Other",
117,ODMap Case Information,,Overdoses,Louisville Metro EMS,,Jennifer Jones,Jennifer Jones,Sensitive,Application Database,Daily,Daily,1/8/2018,,Citywide,"Street address;#Zip code;#City;#Other",https://odmap.hidta.org/
118,Substance Abuse Data Set,​Data set includes all types of substance abuse calls for service (CFS) in Jefferson County with LMEMS response.,Overdoses,Louisville Metro EMS,,Jennifer Jones,Jennifer Jones,Sensitive,Excel Spread Sheets,Daily,Updated Daily,1/8/2018,,Citywide,"Zip code;#Other",
119,Licensing,"​Enables LMAS to track the number of owned cats, dogs, and ferrets in Jefferson County. Assists in reuniting pets with their owners. Allows LMAS to track rabies vaccination compliance",,Metro Animal Services,Business Office,Adam Hamilton,Skip Kalkhof,Public,Unknown,Continuous,,1/1/2006,,Citywide,"Street address;#Zip code;#City",
120,Crime Hot Spot Map,,I/Leads RMS,Metro Police,Technical Services,,,Sensitive,Unknown,Continuous,,,,Citywide,Not applicable,
121,Second Division Mileage Log,,Excel Spreadsheet,Metro Police,Second Division,Admin Lieutenant,,Sensitive,Unknown,Continuous,,,,Citywide,Not applicable,
122,Second Division Vehicle Inspections,,Excel Spreadsheet,Metro Police,Second Division,Admin Lieutenant,,Sensitive,Unknown,Continuous,,,,Citywide,Not applicable,
123,Active Data Governance Member Participation,"Lists all the current members of Data Governance and shows there level of participation for the current calendar year.  Fields include: Member Name, Role, Department, Number Working Groups, Number Badges Earned, Number of Events Attended, Division, Supervisor, Leader, Month and year Joined/Left, and Attendance for each month",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,,,Other,Not applicable,
124,Guest Data Governance Participation,"​List the guests that have attended Data Governance events during the current calendar year.  Fields include: Guest Name, Role, Department, Number of events attended, and month of attendance",Data Governance Member Participation,Metro Technology Services,Civic Innovation  ,Michael Schnuerle ,Michael Schnuerle ,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today,,,Other,Not applicable,
125,Retired Data Governance Members,,Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle ,Michael Schnuerle ,Internal,Excel Spread Sheets,Monthly,Jan 2018 to today ,,,Other,Not applicable,
126,Data Inventory Progress,"​This dataset is used to track the progress of all departments in completing the data inventory.  Fields include: Department, Inventory Lead, Number of data sources, Number of Datasets, Designated Lead (y/n), Inventory Progress (0-5), Inventory Verified (0-3), Open Metadata (0-5), Open Percent (0-5), and Total Score (0-20).",Data Governance Member Participation,Metro Technology Services,Civic Innovation,Michael Schnuerle,Michael Schnuerle,Public,Excel Spread Sheets,Monthly,Jan 2018 to today ,,,Citywide,Not applicable,
127,Waze Alerts,"​All alerts reported to the Waze app for Louisville, KY. 
",Waze for Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds,Internal,SQL Database (stand alone),Continuous,June 2016 to the present,,,Citywide,Latitude/longitude,
128,Waze Jams,"​All jams detected by the Waze app for Louisville, KY.  Includes information on traffic jams, cities reports, and geographic coordinates.
",Waze for Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds,Internal,SQL Database (stand alone),Continuous,June 2016 to the present,,,Citywide,Latitude/longitude,
129,Waze Cooridor Travel Data,"​All travel data reported to the Waze app for Louisville, KY that has been added as a corridor using Waze's tools. Once added, information about travel times along the corridor is tracked and stored.  
",Waze for Cities,Metro Technology Services,Civic Innovation,Michael Schnuerle,Mike Reynolds ,Internal,SQL Database (stand alone),Continuous,June 2016 to the present ,,,Citywide,"Latitude/longitude;#Not applicable",
130,Total Hours Worked,"​This dataset shows the number of hours worked by Metro employees during a pay period. The data is broken down by department, division, and type of hours worked and includes the last 6 years worth of pay periods.",PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A.","Moreno-Rivera, Carmen A.",Public,csv file,Bi-Weekly,Today - 6 years,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/total-hours-worked
131,Turnover,"​This dataset shows the number of employees who left Metro Government each month. The data is broken down by department, type of employee (regular or temporary), age, ethnicity, gender, time in Metro, and type of leave and includes the last 6 years worth of counts.",PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A. ","Moreno-Rivera, Carmen A. ",Public,csv file,Bi-Weekly,Today - 6 years,,,Citywide,Not applicable,https://data.louisvilleky.gov/dataset/turnover
132,Absenteeism,​This dataset shows the number of hours employees were absent from work during a given pay period. The data is broken down by department and type of absence and includes the last 6 years worth of pay periods.  Vacation and holiday time is not consider an absence.,PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A. ","Moreno-Rivera, Carmen A. ",Public,csv file,Bi-Weekly,  Today - 6 years ,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/absenteeism
133,Number of High Sick Leave Consumers ,"​This dataset shows the number of employees who use 75% or more of their earned sick time during the last 26 pay periods.  The data is broken down by department and includes the last 6 years worth of counts.  This data is example information only, and should not be regarded as production ready, correct or as an authoritative source of information.",PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A.  ","Moreno-Rivera, Carmen A.  ",Public,csv file,Bi-Weekly,Today - 6 years ,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/number-high-sick-leave-consumers
134,OSHA Data ,​This dataset shows the number of OSHA incidents during a pay period. The data is broken down by department and includes pay periods going back six years.,PeopleSoft Reader,Office of Performance Improvement,Performance Improvement,"Moreno-Rivera, Carmen A","Moreno-Rivera, Carmen A",Public,csv file,Bi-Weekly,Today - 6 years ,,,Other,Not applicable,https://data.louisvilleky.gov/dataset/osha-data
135,Employee Engagement Survey,,Excel Spreadsheet,Office of Performance Improvement,,Carmen Moreno-Rivera,,Internal,Excel Spread Sheets,Yearly,Annual,,,Other,Not applicable,
136,Resident Satisfaction Survey,,,Office of Performance Improvement,,Carmen Moreno-Rivera,,Internal,Excel Spread Sheets,Not updated (historical only),Annual,,,Citywide,Zip code,
137,LEAP Purchase Orders,"​Purchase Orders and Contracts for Metro Governement
",Oracle Financials (LEAP),OMB - Finance,OMB Purchasing,OMB Financial Systems,OMB Financial Systems,Public,Oracle Database,Continuous,Ongoing,7/1/2004,,Other,Street address,http://services.louisvilleky.gov/LouisvilleCheckBook/agencysearch/AgencyHome.aspx
138,LEAP,​Accounts Payable Module-Processing and Payment of invoices for goods/services procured.,Oracle Financials (LEAP),OMB - Finance,,OMB Financial Systems,OMB Financial Systems,Public,Oracle Database,Continuous,,7/1/2004,,Citywide,Street address,http://services.louisvilleky.gov/LouisvilleCheckBook/agencysearch/AgencyHome.aspx
139,Work Order Archives,"​Work Order history of Metro Properties maintained by Facilities Management 
",Sharepoint,OMB - Fleet & Facilities,Facilities,Tom Pardue,,Internal,SharePoint Lists,Continuous,,10/15/2011,,Subset of city,Street address,
140,Locations,"​List of Facilities maintained by Fleet and Facilities
",Sharepoint,OMB - Fleet & Facilities,Facilities Management,Tom Pardue,Tom Pardue,Internal,SharePoint List,Continuous,2011-Current,10/15/2011,,Citywide,"Street address;#Not applicable",
141,Registered Businesses of Jefferson County,​Published to the open data portal monthly.  A list of registerred businesses.,Metro Integrated Tax System (MINTS),OMB - Revenue Commission,,Angela Dunn,Charles Paisley,Public,csv file,Monthly,12 months,,,Citywide,"Street address;#Zip code;#City",https://data.louisvilleky.gov/dataset/business-listings-registrations
142,Parking Citations,"Parking violations from PARC. Note: needs geocoding, there is no latitude or longitude in data. There is information about the house number, block, or intersection as well as the street name, so geocoding is possible. PARC is working on...
",,Parking Authority of River City,PARC,PARC,Parking Authority of River City,Public,csv file,Yearly,updates yearly,1/1/2018,12/1/2018,Citywide,Not applicable,
143,Meter Bagging Order Transaction Detail,"DB of Financial Transactions for Meter Bagging.

",Meter Bagging,Parking Authority of River City,OnStreet,,,Internal,Access Consolidated Database,Continuous,2007-,,,Subset of city,Not applicable,
