ObjectId,Data_Set_Name,Brief_Description_of_Data,Data_Source,Home_Department,Home_Department_Division,Data_Steward__Business__Name,Data_Custodian__Technical__Name,Data_Classification,Data_Format,Frequency_of_Data_Change,Time_Span,Geographic_Coverage,Geographic_Granularity,Link_to_Existing_Publication
69,Organizational Charts,​Documents showing department positions by division and the employees occupying those positions,Publisher,Pw&A - Streets And Roads,Personnel,jessica brunk,Not listed,Internal,Publisher And Pdf,Monthly,5 years,Other,Not applicable,No link available
70,Service Requests/Work Orders,"Work requested by citizens and others for the division to carry out a resolution within the public Metro & State right-of-way (non-interstate). Data collected includes date, citizens contact, council district, issue, inspection comments, completed resolution.  Data sets that use work orders includes, for example, potholes, right of way obstruction/hazard, grass cutting, vegetation, drainage, basketball goals, snow/ice removal, weather related incidents (for example: flooding).",Hansen 8,Pw&A - Streets And Roads,Roads & Ops,Stella Irvin,Whitney Hickman,Internal,Excel Spread Sheets,Continuous,Continous,Citywide,Street address,No link available
71,CTIP - Capital Transportation Improvement Projects,​This dataset is a listing of all projects that require a local match or is totally capital funded.,Excel Spreadsheet,Pw&A - Streets And Roads,Transportation,Tammy Markert,Tammy Markert,Internal,Excel Spread Sheets,Yearly,1 year,Citywide,Street address;#Not applicable,No link available
72,Bridge inventory,​Inspections of known Metro maintained culverts and bridges,Excel Spreadsheet,Pw&A - Streets And Roads,Engineering,Matthew Haines,Matthew Haines,Public,Excel Spread Sheets,Continuous,yearly,Citywide,Latitude/longitude,No link available
73,Bikeways,​Metro bikeways and shared use paths,Lojic,Pw&A - Streets And Roads,Gis,Metro Public Works GIS,Metro Public Works GIS Supervisor,Public,Oracle Database,Continuous,Current,Citywide,Not applicable,No link available
74,ABC License Data and other location based licenses,"​Listing of all active ABC licenses including the name of the establishment, type of license, location and more. Homeless Shelter Pawn Broker Outdoor Advertising",Hansen 8,Codes & Regulations,License And Permits,Benjamin Anderson,Not listed,Public,Csv File,Not updated (historical only),Unknown,Citywide,Street address;#Not applicable,https://data.louisvilleky.gov/dataset/abc-license-data
75,Lien Holder Final Orders,"​The Lien Holder Notification System allows lien holders and others to register to receive weekly email notification about all final orders issued since the last notification. The purpose of this notification is to enable lien holders to fix the property, pay the fine, and any abatement costs prior to a lien being taken on a property they have a financial interest in. This notification system was created pursuant to KRS Section 65.8828, commonly known as ""House Bill 422"". This data set provides the data for those weekly emails and serves to provide the data for those who do not wish to register. To view specific violation information for cases listed on the notification go to http://portal.louisvilleky.gov/codesandregs/mainsearch and enter the Case Number in the Permit/Case/Docket Number field.",Accela,Codes & Regulations,Unspecified,Benjamin Anderson,Mike Reynolds,Public,Csv File,Weekly,Unknown,Citywide,Street address;#Not applicable,https://data.louisvilleky.gov/dataset/lien-holder-final-orders
76,Boarding and Cleaning Requests Received,"​The total number of request received for the boarding, cleaning and cutting of vacant and abandoned properties",Hansen 8,Codes & Regulations,Vacant Lots,Benjamin Anderson,Not listed,Public,Unknown,Not updated (historical only),Unknown,Citywide,Street address;#Not applicable,https://data.louisvilleky.gov/dataset/boarding-and-cleaning-requests-received
77,Boarding and Cleaning Cases Resolved,"​The total number of cases resolved for the boarding, cleaning and cutting of vacant and abandoned properties.",Hansen 8,Codes & Regulations,Vacant Lots,Benjamin Anderson,Not listed,Public,Csv File,Not updated (historical only),Unknown,Citywide,Street address;#Not applicable,https://data.louisvilleky.gov/dataset/boarding-and-cleaning-cases-resolved
78,Closed ABC Cases,​Closed ABC Cases,Hansen 8,Codes & Regulations,License And Permits,Not listed,Not listed,Public,Csv File,Not updated (historical only),Unknown,Citywide,Street address;#Not applicable,https://data.louisvilleky.gov/dataset/closed-abc-cases
79,Short Term Rentals,​License numbers and addresses for licensed short term rentals in Louisville Metro,Hansen 8,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Public,Other,Monthly,Continuous,Citywide,Street address,https://louisvilleky.gov/government/planning-design/short-term-rental-information
80,Zoning Districts,​Parcel-level zoning layer.,Lojic,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Public,Gis Feature Class,Continuous,Today,Citywide,Parcel (block/lot),http://lojic.org
81,Form Districts,​Parcel-level form district layer.,Lojic,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Public,Gis Feature Class,Continuous,Today,Citywide,Parcel (block/lot),http://lojic.org
82,Overlay Districts,​Parcel-level overlay district layer.,Lojic,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Public,Gis Feature Class,Continuous,Today,Citywide,Parcel (block/lot),http://lojic.org
83,Plan Certain Districts,​Parcel-level plan certain districts layer.,Lojic,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Public,Gis Feature Class,Continuous,Today,Citywide,Parcel (block/lot),http://lojic.org
84,Related Cases (BOZA),"​Point feature class of cases that BOZA has decided, geographically coded onto parcels.  This is used for the Related Cases field of the Land Development Report for any given parcel.",Lojic,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Public,Gis Feature Class,Continuous,Today,Citywide,Parcel (block/lot),http://lojic.org
85,Development Applications,"​Alternately a GIS feature class or a spreadsheet with information about development applications in Louisville Metro.  Information includes type of development, number of multi-family units or hotel rooms or buildable lots, or square footage of commercial or industrial development.",Hansen 8,Develop Louisville,Office Of Planning And Design Services,Dante St. Germain,Not listed,Public,Csv File,Yearly,Unknown,Citywide,Parcel (block/lot),No link available
86,Zoning District Changes,"​A GIS featue class of recent zoning map changes, including the original zoning district and the new zoning district, the application date, and the approval date.",Lojic,Develop Louisville,Office Of Planning And Design Services,Dante St. Germain,Not listed,Internal,Gis Feature Class,Continuous,Unknown,Citywide,Parcel (block/lot),No link available
87,Development Logs,"​Current and historical data on many development types, such as subdivisions and landscape plans.  Much of the data pre-dates Hansen.",Excel Spreadsheet,Develop Louisville,Office Of Planning And Design Services,Not listed,Not listed,Internal,Excel Spread Sheets,Weekly,Unknown,Citywide,Not applicable,No link available
88,Acquisitions and Lien Waivers ,​Includes all donation requests that have been sent to VPPA and shows the outcome of each donation and lien waiver request.,Sharepoint,Develop Louisville,Vacant And Public Property Administration,Connie Sutton,Abbey Rogers,Internal,Csv File,Daily,Spans back to 2011,Citywide,Parcel (block/lot),https://data.louisvilleky.gov/dataset/property-donations
89,Demolitions,​Information pertaining to demolitions initiated by the Vacant and Public Property Administration.  Data is also used to calculate priority score for each property eligible for demolition.,Sharepoint,Develop Louisville,Vacant And Public Property Administration,Carrie Fry,Abbey Rogers,Internal,Csv File,Daily,Spans back to 2014,Citywide,Street address;#Parcel (block/lot),https://data.louisvilleky.gov/dataset/jefferson-county-demolitions
90,Property Foreclosures,​List of every property that has been referred for foreclosure and contains all notes for properties currently being foreclosed on.,Sharepoint,Develop Louisville,Vacant And Public Property Administration,Carrie Fry,Abbey Rogers,Internal,Csv File,Daily,Spans back to 2012,Citywide,Street address;#Parcel (block/lot);#Not applicable,https://data.louisvilleky.gov/dataset/property-foreclosures
